location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3420,"Taborstraße","co",417.4115,"µg/m³","2023-01-02T06:00:00Z","2023-01-02T07:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",447.71599,"µg/m³","2023-01-02T07:00:00Z","2023-01-02T08:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",444.224,"µg/m³","2023-01-02T08:00:00Z","2023-01-02T09:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",474.34252,"µg/m³","2023-01-02T09:00:00Z","2023-01-02T10:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",457.58098,"µg/m³","2023-01-02T10:00:00Z","2023-01-02T11:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",464.1925,"µg/m³","2023-01-02T12:00:00Z","2023-01-02T13:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",470.96699,"µg/m³","2023-01-02T13:00:00Z","2023-01-02T14:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",452.61651,"µg/m³","2023-01-02T14:00:00Z","2023-01-02T15:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",479.2895,"µg/m³","2023-01-02T15:00:00Z","2023-01-02T16:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",536.59349,"µg/m³","2023-01-02T16:00:00Z","2023-01-02T17:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",585.92951,"µg/m³","2023-01-02T17:00:00Z","2023-01-02T18:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",581.59345,"µg/m³","2023-01-02T18:00:00Z","2023-01-02T19:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",509.0065,"µg/m³","2023-01-02T20:00:00Z","2023-01-02T21:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",493.339,"µg/m³","2023-01-02T21:00:00Z","2023-01-02T22:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",488.95099,"µg/m³","2023-01-02T22:00:00Z","2023-01-02T23:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",454.68848,"µg/m³","2023-01-03T00:00:00Z","2023-01-03T01:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",466.35746,"µg/m³","2023-01-03T01:00:00Z","2023-01-03T02:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",446.68599,"µg/m³","2023-01-03T02:00:00Z","2023-01-03T03:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",443.8225,"µg/m³","2023-01-03T03:00:00Z","2023-01-03T04:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",454.18798,"µg/m³","2023-01-03T04:00:00Z","2023-01-03T05:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",453.42552,"µg/m³","2023-01-03T05:00:00Z","2023-01-03T06:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",515.91503,"µg/m³","2023-01-03T06:00:00Z","2023-01-03T07:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",524.07449,"µg/m³","2023-01-03T07:00:00Z","2023-01-03T08:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",630.66196,"µg/m³","2023-01-03T09:00:00Z","2023-01-03T10:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",644.04845,"µg/m³","2023-01-03T10:00:00Z","2023-01-03T11:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",749.35603,"µg/m³","2023-01-03T11:00:00Z","2023-01-03T12:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",309.54349,"µg/m³","2023-01-03T13:00:00Z","2023-01-03T14:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",328.32449,"µg/m³","2023-01-03T14:00:00Z","2023-01-03T15:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",329.13953,"µg/m³","2023-01-03T15:00:00Z","2023-01-03T16:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",407.727,"µg/m³","2023-01-03T16:00:00Z","2023-01-03T17:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",411.8475,"µg/m³","2023-01-03T17:00:00Z","2023-01-03T18:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",428.93499,"µg/m³","2023-01-03T18:00:00Z","2023-01-03T19:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",468.63895,"µg/m³","2023-01-03T20:00:00Z","2023-01-03T21:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",423.5225,"µg/m³","2023-01-03T21:00:00Z","2023-01-03T22:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",447.268,"µg/m³","2023-01-03T23:00:00Z","2023-01-04T00:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",438.3575,"µg/m³","2023-01-04T00:00:00Z","2023-01-04T01:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",420.54849,"µg/m³","2023-01-04T01:00:00Z","2023-01-04T02:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",439.38195,"µg/m³","2023-01-04T02:00:00Z","2023-01-04T03:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",430.76249,"µg/m³","2023-01-04T03:00:00Z","2023-01-04T04:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",435.64552,"µg/m³","2023-01-04T04:00:00Z","2023-01-04T05:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",455.31702,"µg/m³","2023-01-04T05:00:00Z","2023-01-04T06:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",498.00097,"µg/m³","2023-01-04T06:00:00Z","2023-01-04T07:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",532.80448,"µg/m³","2023-01-04T07:00:00Z","2023-01-04T08:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",630.95301,"µg/m³","2023-01-04T08:00:00Z","2023-01-04T09:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",627.7405,"µg/m³","2023-01-04T09:00:00Z","2023-01-04T10:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",724.02703,"µg/m³","2023-01-04T10:00:00Z","2023-01-04T11:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",684.10754,"µg/m³","2023-01-04T11:00:00Z","2023-01-04T12:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",602.03349,"µg/m³","2023-01-04T12:00:00Z","2023-01-04T13:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",579.25403,"µg/m³","2023-01-04T13:00:00Z","2023-01-04T14:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",606.36347,"µg/m³","2023-01-04T14:00:00Z","2023-01-04T15:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",646.73101,"µg/m³","2023-01-04T15:00:00Z","2023-01-04T16:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",792.28395,"µg/m³","2023-01-04T16:00:00Z","2023-01-04T17:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",929.15904,"µg/m³","2023-01-04T17:00:00Z","2023-01-04T18:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",936.76602,"µg/m³","2023-01-04T18:00:00Z","2023-01-04T19:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",455.72453,"µg/m³","2023-01-04T20:00:00Z","2023-01-04T21:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
3420,"Taborstraße","co",247.15298,"µg/m³","2023-01-04T22:00:00Z","2023-01-04T23:00:00+01:00","Europe/Vienna",48.216738999711964,16.38091800012245,,,,"Unknown Governmental Organization","EEA"
